"key","ko"
"RESET_USER_DATA_WARNING","경고 : {0}초 후 유저 데이터를 초기화 합니다. 이는 되돌릴 수 없습니다. 중단하려면 취소 버튼을 누르세요.\n결제 정보는 초기화 되지 않습니다."
"LANGUAGE","언어"
"RESET","데이터 초기화"
"SHUTDOWN","게임 종료"
"CANCEL","취소"
"TOUCH_TO_START","시작하려면 터치하세요."
"PERSONALIZED_ADS_SETTINGS","맞춤형 광고 설정"
"AD_SETTINGS_PRIVACY_NOTICE","당사 앱은 Google AdMob을 통해 광고를 제공합니다. 광고 성능 개선 및 사용자 경험 향상을 위해 광고 ID, 기기 정보 등 일부 데이터를 수집할 수 있습니다.\n\n수집되는 정보는 다음과 같습니다:\n- 광고 ID (예: Android Advertising ID)\n- 기기 정보 (기기 모델, OS 버전 등)\n\n이 정보는 다음 목적을 위해 사용됩니다:\n- 맞춤형 광고 제공 및 광고 성능 분석\n- 사용자 관심사 기반 광고 노출\n\n보관 기간:\n- Google AdMob 정책에 따라 광고 ID 및 관련 정보는 필요한 기간 동안만 저장되며, 이후 자동 삭제 또는 익명화 처리됩니다.\n\n제3자 제공 여부:\n- 수집된 정보는 Google AdMob을 통해 처리되며, 귀하의 동의 없이 당사 또는 Google이 제3자에게 직접 공유하지 않습니다.\n- 단, Google의 광고 네트워크 내에서 익명화된 방식으로 광고 타겟팅에 활용될 수 있습니다.\n\n광고 유형:\n- 맞춤형 광고: 관심사에 기반한 광고 제공\n- 비개인 광고: 일반적인 광고 제공\n\n귀하는 아래 선택을 통해 광고 설정을 결정할 수 있으며, 언제든지 앱 설정에서 변경 가능합니다."
"AD_PERSONALIZATION_CONSENT","위 내용을 모두 확인하고 맞춤형 광고 수신에 동의합니다."
"OK","확인"
"DODGE","피함"
"CONFIRM_LANGUAGE_CHANGE","언어를 변경하면 게임을 재시작합니다. "
"CONTINUE","계속하기"
"VICTORY","적을 처치했습니다!"
"NEW_RECORD","신 기록"
"BEST_RECORD","최고 기록"
"TO_TITLE","타이틀로"
"RESTART","다시하기"
"GAME_OVER","적에게 당했습니다."
"ADVERTISEMENT_NOTICE","광고가 곧 시작됩니다."
"THANKS_FOR_ORDER","이 상품을 구매 해주셔서 감사합니다."
"AD_FREE_NAME","광고차단기"
"OFFER_MESSAGE","구매하시겠습니까?"
"YES","예"
"NO","아니오"
